,cutoff,sensitivity,specificity,accuracy,total
0,0.0,1.0,0.0,0.5350585727084066,1.0
0,0.02040816326530612,0.9994701369166208,0.663894241322959,0.843447001054649,1.6633643782395797
0,0.04081632653061224,0.9994701369166208,0.663894241322959,0.843447001054649,1.6633643782395797
0,0.061224489795918366,0.9994701369166208,0.663894241322959,0.843447001054649,1.6633643782395797
0,0.08163265306122448,0.9919460811326354,0.7369935852093954,0.87340810378653,1.728939666342031
0,0.1020408163265306,0.9842736636853037,0.8067757750189029,0.901747541987503,1.7910494387042064
0,0.12244897959183673,0.9842736636853037,0.8067757750189029,0.901747541987503,1.7910494387042064
0,0.14285714285714285,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.16326530612244897,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.18367346938775508,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.2040816326530612,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.22448979591836732,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.24489795918367346,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.26530612244897955,0.9789114492815056,0.9164369862679578,0.9498644832787109,1.8953484355494634
0,0.2857142857142857,0.9764316900512907,0.9164857679455597,0.9485603474671415,1.8929174579968504
0,0.3061224489795918,0.9764316900512907,0.9164857679455597,0.9485603474671415,1.8929174579968504
0,0.32653061224489793,0.9764316900512907,0.9164857679455597,0.9485603474671415,1.8929174579968504
0,0.3469387755102041,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.36734693877551017,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.3877551020408163,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.4081632653061224,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.42857142857142855,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.44897959183673464,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.4693877551020408,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.4897959183673469,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.5102040816326531,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.5306122448979591,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.5510204081632653,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.5714285714285714,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.5918367346938775,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.6122448979591836,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.6326530612244897,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.6530612244897959,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.673469387755102,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.6938775510204082,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.7142857142857142,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.7346938775510203,0.9622525539400619,0.956389180223908,0.9595264285957292,1.9186417341639699
0,0.7551020408163265,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.7755102040816326,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.7959183673469387,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.8163265306122448,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.836734693877551,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.8571428571428571,0.9193124496630071,0.962267372374936,0.9392839727378914,1.881579822037943
0,0.8775510204081632,0.7646560128862702,0.9848288982658113,0.8670235084655424,1.7494849111520816
0,0.8979591836734693,0.7616887796193463,0.9848288982658113,0.8654358648688493,1.7465176778851577
0,0.9183673469387754,0.752935441481921,0.9849020707822141,0.8607863371928193,1.7378375122641352
0,0.9387755102040816,0.752935441481921,0.9849020707822141,0.8607863371928193,1.7378375122641352
0,0.9591836734693877,0.752935441481921,0.9849020707822141,0.8607863371928193,1.7378375122641352
0,0.9795918367346939,0.752935441481921,0.9849020707822141,0.8607863371928193,1.7378375122641352
0,1.0,0.0,1.0,0.46494142729159343,1.0
